for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_occupied_residential,reported_occupied_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,average_rent_dollars,aaur_filing_received,aaur_sufficient
204,1155,JONES ST,0247 001 01,6,0,5,0,1,0,5,2402.38,TRUE,TRUE
205,179,JULIAN AV,3554 040 01,27,0,16,0,11,0,27,1400,TRUE,TRUE
206,649,KEARNY ST,0226 001 01,19,0,13,0,6,0,19,352.43,TRUE,TRUE
207,706,KEARNY ST,0208 011 01,36,0,36,0,22,0,36,722.22,TRUE,TRUE
208,712,KEARNY ST,0208 012 01,18,0,19,0,0,0,19,364.08,TRUE,TRUE
209,833,KEARNY ST,0194 003 01,44,0,47,0,0,0,47,524.26,TRUE,TRUE
210,901,KEARNY ST,0177 002 01,42,0,40,0,2,0,42,557.99,TRUE,TRUE
211,935,KEARNY ST,0177 001 01,128,21,73,20,55,1,149,874,TRUE,TRUE
212,633,LARKIN ST,0740 005 01,3,11,1,7,2,4,14,1e3,TRUE,TRUE
213,664,LARKIN ST,0335 015 01,12,0,9,0,3,0,12,500,TRUE,TRUE
214,1005,LARKIN ST,0692 004 01,7,0,7,0,0,0,7,845.5,FALSE,TRUE
215,1008,LARKIN ST,0301 014 01,22,7,29,0,0,0,29,1087,TRUE,FALSE
216,1048,LARKIN ST,0301 016 01,36,0,22,0,13,0,35,1200,TRUE,FALSE
217,1105,LARKIN ST,0669 005 01,92,0,90,0,2,0,92,825,TRUE,TRUE
218,1430,LARKIN ST,0249 017 01,20,0,0,0,0,0,0,607.73,TRUE,FALSE
219,161,LEAVENWORTH ST,0345 001 01,22,13,31,0,0,4,35,600,TRUE,TRUE
220,201,LEAVENWORTH ST,0337 006 01,55,0,54,0,0,0,56,650,TRUE,TRUE
221,335,LEAVENWORTH ST,0334 003 01,19,14,NA,NA,NA,NA,NA,NA,FALSE,FALSE
222,711,LEAVENWORTH ST,0300 003B 01,7,0,7,0,0,0,7,1050,TRUE,TRUE
223,2524,LOMBARD ST,0935 003 01,38,9,42,0,0,5,47,450,TRUE,TRUE
224,363,LYON ST,1207 001 01,6,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
225,2901,MARIPOSA ST,4019 001 01,46,0,46,0,0,0,46,655,TRUE,TRUE
226,1139,MARKET ST,3702 045 01,31,63,23,4,8,59,94,750,TRUE,TRUE
227,1272,MARKET ST,0355 009 01,40,17,38,14,2,3,57,650,TRUE,TRUE
228,1278,MARKET ST,0355 010 01,62,18,61,18,1,0,80,700,TRUE,TRUE
229,1412,MARKET ST,0835 001 01,15,105,0,2,15,103,120,0,TRUE,TRUE
230,1657,MARKET ST,3504 046 01,19,35,44,0,0,10,54,620,TRUE,TRUE
231,1751,MARKET ST,3503 003 01,9,0,8,0,1,0,9,601.77,TRUE,TRUE
232,1876,MARKET ST,0871 005 01,26,4,32,0,0,0,32,795.53,TRUE,TRUE
233,2160,MARKET ST,3542 014 01,56,4,41,4,15,0,60,1484,TRUE,TRUE
234,2162,MARKET ST,3542 015 01,23,12,28,1,0,6,35,955.85,TRUE,TRUE
235,2306,MARKET ST,3562 001 01,16,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
236,56,MASON ST,0341 008 01,41,16,0,0,41,16,57,0,TRUE,TRUE
237,111,MASON ST,0331 006 01,13,52,10,40,3,12,65,2079.22,TRUE,TRUE
238,140,MASON ST,0330 014 01,9,66,0,62,9,4,75,0,TRUE,TRUE
239,146,MCALLISTER ST,0348 007 01,11,0,11,0,0,0,11,995,TRUE,TRUE
240,246,MCALLISTER ST,0347 005 01,42,20,42,0,20,0,62,1112.11,TRUE,TRUE
241,45,MCCOPPIN ST,3513 057 01,9,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
242,481,MINNA ST,3725 066 01,49,29,12,0,37,29,78,400,TRUE,FALSE
243,936,MISSION ST,3704 013 01,124,32,NA,NA,NA,NA,NA,NA,FALSE,FALSE
244,948,MISSION ST,3704 017 01,40,16,40,7,0,9,56,584,TRUE,TRUE
245,1018,MISSION ST,3703 081 01,65,2,67,0,0,0,67,680,TRUE,TRUE
246,1288,MISSION ST,3701 022 01,81,24,76,9,3,17,105,768,TRUE,FALSE
247,1906,MISSION ST,3554 002 01,28,3,25,3,3,0,31,2548.14,TRUE,TRUE
248,1941,MISSION ST,3553 022 01,39,19,58,0,5,0,63,600,TRUE,TRUE
249,2030,MISSION ST,3569 004 01,13,24,5,15,8,9,37,920,TRUE,FALSE
250,2032,MISSION ST,3569 005 01,18,4,14,2,4,2,22,750,TRUE,TRUE
251,2042,MISSION ST,3569 007 01,12,0,12,0,0,0,12,927.16,TRUE,TRUE
252,2056,MISSION ST,3569 011 01,20,2,14,0,6,2,22,850,TRUE,TRUE
253,2072,MISSION ST,3569 014 01,16,0,5,0,11,4,20,1500,TRUE,FALSE
254,2084,MISSION ST,3569 015 01,50,0,42,0,8,0,50,570,TRUE,TRUE
255,2126,MISSION ST,3576 004 01,40,0,40,0,0,0,40,350,TRUE,TRUE
256,2135,MISSION ST,3575 038 01,46,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
257,2284,MISSION ST,3589 016 01,10,25,10,11,0,14,35,600,TRUE,TRUE
258,2361,MISSION ST,3595 024 01,64,23,54,21,10,2,87,1e3,TRUE,FALSE
259,2370,MISSION ST,3596 014 01,12,0,12,0,0,0,12,300,TRUE,TRUE
260,2438,MISSION ST,3609 006 01,5,9,4,0,1,9,14,2e3,TRUE,TRUE
261,2477,MISSION ST,3610 020 01,15,0,16,0,0,0,16,630,TRUE,FALSE
262,2697,MISSION ST,3637 020 01,14,10,NA,NA,NA,NA,NA,NA,TRUE,FALSE
263,2766,MISSION ST,3643 008 01,31,0,31,0,0,0,31,800,TRUE,TRUE
264,3308,MISSION ST,6635 001 01,22,6,0,0,22,6,28,0,TRUE,TRUE
265,4796,MISSION ST,6956 036 01,11,0,10,0,0,0,10,776,TRUE,TRUE
266,5060,MISSION ST,6969 012 01,4,15,4,6,0,9,19,1500,TRUE,TRUE
267,515,OCTAVIA ST,0807 003 01,11,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
268,539,OCTAVIA ST,0807 043 01,19,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
269,1916,OCTAVIA ST,0640 011 01,20,0,20,0,0,0,20,1248,TRUE,FALSE
270,190,OFARRELL ST,0314 006 01,60,11,45,1,15,10,71,500,TRUE,TRUE
271,240,OFARRELL ST,0315 010 01,78,51,59,43,19,8,129,932.38,TRUE,TRUE
272,280,OFARRELL ST,0315 015 01,22,0,9,0,13,0,22,780.6,TRUE,TRUE
273,411,OFARRELL ST,0324 001 01,85,35,43,38,42,0,123,941,TRUE,FALSE
274,445,OFARRELL ST,0324 021 01,55,47,NA,NA,NA,NA,NA,NA,FALSE,FALSE
275,505,OFARRELL ST,0323 001 01,75,5,75,5,0,0,80,1603.47,TRUE,TRUE
276,570,OFARRELL ST,0318 012 01,33,5,22,1,11,4,38,1053,TRUE,TRUE
277,579,OFARRELL ST,0323 028 01,19,6,2,0,17,6,25,650,TRUE,FALSE
278,580,OFARRELL ST,0318 013 01,59,11,60,0,0,10,70,1517.28,TRUE,TRUE
279,587,OFARRELL ST,0323 027 01,7,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
280,601,OFARRELL ST,0322 001 01,7,0,7,0,0,0,7,1627.12,TRUE,TRUE
281,608,OFARRELL ST,0319 007 01,26,2,19,2,7,0,28,900,TRUE,TRUE
282,626,OFARRELL ST,0319 008 001,6,7,3,7,3,0,13,610,TRUE,TRUE
283,788,OFARRELL ST,0320 014 01,10,0,10,0,0,0,10,1225,TRUE,TRUE
284,630,PACIFIC AV,0162 006 01,18,0,18,0,0,0,18,200.28,TRUE,TRUE
285,644,PACIFIC AV,0162 008 01,28,0,27,0,1,0,28,498.58,TRUE,TRUE
286,656,PACIFIC AV,0162 009 01,35,0,32,0,0,0,32,430.39,TRUE,FALSE
287,752,PACIFIC AV,0161 013 01,38,0,36,0,0,0,36,544.66,TRUE,FALSE
288,801,PACIFIC AV,0179 001 01,20,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
289,2137,PACIFIC AV,0590 015 01,8,0,8,0,0,0,8,1350,TRUE,TRUE
290,2141,PACIFIC AV,0590 014A 01,8,0,7,0,1,0,8,1082.54,TRUE,TRUE
291,2901,PACIFIC AV,0976 001 01,16,27,9,27,7,0,43,3790.25,TRUE,TRUE
292,1500,PAGE ST,1223 004 01,38,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
293,1880,PAGE ST,1226 017 01,10,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
294,1890,PAGE ST,1226 018 01,7,0,7,0,0,0,7,1649.41,TRUE,TRUE
295,614,PINE ST,0257 009 01,40,22,37,21,3,1,62,536,TRUE,TRUE
296,899,PINE ST,0273 013 01,19,0,17,0,2,0,19,2210,TRUE,TRUE
297,966,PINE ST,0254 018 01,8,0,4,0,4,0,8,600,TRUE,TRUE
298,1026,PINE ST,0253 007 01,21,0,19,0,2,9,21,399,TRUE,TRUE
299,1055,PINE ST,0275 009 01,59,0,81,0,0,0,81,1076,TRUE,FALSE
300,1485,PINE ST,0668 009 01,61,2,57,0,3,2,62,500,TRUE,TRUE
301,610,POLK ST,0741 006A 01,36,48,33,46,3,2,84,600,TRUE,TRUE
302,706,POLK ST,0740 014 01,29,55,0,0,29,55,84,0,TRUE,TRUE
303,743,POLK ST,0739 001 01,19,0,19,0,0,0,19,717,TRUE,TRUE
304,1214,POLK ST,0669 011 01,66,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
305,1255,POLK ST,0670 026 01,25,0,24,0,1,0,25,659.91,TRUE,TRUE
306,1544,POLK ST,0644 016 01,29,9,28,9,0,0,37,675,TRUE,TRUE
307,1618,POLK ST,0621 014 01,6,0,6,0,0,0,6,681.44,TRUE,TRUE
308,1625,POLK ST,0622 003 01,6,0,6,0,0,0,6,693.45,TRUE,TRUE
309,1733,POLK ST,0619 002 01,7,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
310,1736,POLK ST,0620 018 01,17,0,8,0,0,0,8,756,TRUE,FALSE
311,2048,POLK ST,0573 012 01,81,0,81,0,0,0,81,450,TRUE,FALSE
312,589,POST ST,0306 017 01,66,23,66,20,0,0,89,693.42,TRUE,TRUE
313,606,POST ST,0298 006 01,26,15,24,11,2,4,41,1600,TRUE,TRUE
314,615,POST ST,0305 034 01,12,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
315,629,POST ST,0305 032 01,62,0,17,0,45,0,62,1406.32,TRUE,TRUE
316,641,POST ST,0305 029 01,94,0,89,0,5,0,94,919.92,TRUE,TRUE
317,711,POST ST,0304 018 01,70,53,58,45,12,8,123,695,TRUE,TRUE
318,775,POST ST,0304 014 01,18,0,15,0,3,0,18,828.42,TRUE,TRUE
319,798,POST ST,0299 010 01,6,0,6,0,0,0,6,1300,TRUE,TRUE
320,908,POST ST,0301 007 01,27,0,26,0,1,0,27,548.15,TRUE,TRUE
321,1010,POST ST,0692 003 01,39,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
322,1075,POST ST,0693 017 01,20,1,17,0,2,0,19,700,TRUE,TRUE
323,1105,POST ST,0694 001 01,19,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
324,161,POWELL ST,0326 002 01,66,38,50,33,16,5,104,923.29,TRUE,TRUE
325,242,POWELL ST,0314 010 01,6,99,1,78,5,21,105,331.52,TRUE,FALSE
326,245,POWELL ST,0315 002 01,54,54,NA,NA,NA,NA,NA,NA,TRUE,FALSE
327,1005,POWELL ST,0212 008 01,64,0,64,0,0,0,64,450,TRUE,TRUE
328,1362,POWELL ST,0160 017 01,25,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
329,1449,POWELL ST,0148 031 01,17,0,15,0,2,0,17,500,TRUE,TRUE
330,1466,POWELL ST,0147 015A 01,83,0,85,0,2,0,83,436.88,TRUE,TRUE
331,17,ROMOLO PL,0145 022 01,25,0,20,0,5,0,25,743.98,TRUE,TRUE
332,45,ROSS AL,0193 021A 01,28,0,28,0,0,0,28,330,TRUE,TRUE
333,666,SACRAMENTO ST,0227 015 01,17,0,15,0,2,0,17,350,TRUE,TRUE
334,1685,SACRAMENTO ST,0644 017 01,24,14,NA,NA,NA,NA,NA,NA,TRUE,FALSE
335,1870,SACRAMENTO ST,0623 005 01,104,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
336,2263,SACRAMENTO ST,0638 011 01,16,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
337,838,SANSOME ST,0165 010 01,61,0,41,0,1,0,41,580.46,TRUE,FALSE
338,106,SOUTH PARK AV,3775 058 01,15,9,NA,NA,NA,NA,NA,NA,FALSE,FALSE
339,4,SPOFFORD AL,0210 010 01,12,0,12,0,0,0,12,500,TRUE,TRUE
340,31,SPOFFORD AL,0210 015 01,7,0,7,0,0,0,7,210.15,TRUE,TRUE
341,32,SPOFFORD AL,0210 023 01,8,0,8,0,0,0,8,675,TRUE,FALSE
342,39,SPOFFORD AL,0210 021 01,40,2,42,0,0,0,42,437.44,TRUE,TRUE
343,44,SPOFFORD AL,0210 045 01,8,0,8,0,0,0,8,410,TRUE,TRUE
344,48,SPOFFORD AL,0210 025 01,7,0,7,0,0,0,7,NA,TRUE,FALSE
345,809,STOCKTON ST,0224 005 01,24,0,24,0,0,0,24,559.04,TRUE,TRUE
346,856,STOCKTON ST,0225 017 01,58,0,56,0,2,0,58,330,TRUE,TRUE
347,1017,STOCKTON ST,0192 003 01,14,0,11,0,3,0,14,212,TRUE,TRUE
348,1064,STOCKTON ST,0193 022 01,12,0,12,0,0,0,12,389,TRUE,FALSE
349,1137,STOCKTON ST,0179 042 01,23,0,22,0,1,0,23,370,TRUE,TRUE
350,1316,STOCKTON ST,0146 012 01,28,0,27,0,1,0,28,529,TRUE,FALSE
351,1323,STOCKTON ST,0147 004 01,20,0,20,0,0,0,20,493,TRUE,TRUE
352,1331,STOCKTON ST,0147 003 01,182,0,167,0,15,0,182,262,TRUE,TRUE
353,1334,STOCKTON ST,0146 015 01,79,0,79,0,0,0,79,572.57,TRUE,FALSE
354,1350,STOCKTON ST,0146 016 01,98,0,97,0,1,0,98,538.61,TRUE,TRUE
355,1351,STOCKTON ST,0147 002 01,54,0,57,0,0,0,57,416,TRUE,TRUE
356,1411,STOCKTON ST,0130 009 01,55,0,42,0,13,0,55,765,TRUE,TRUE
357,325,SUTTER ST,0294 021 01,69,10,33,8,53,2,96,792.67,TRUE,TRUE
358,717,SUTTER ST,0298 034 01,19,16,35,0,0,0,35,695,TRUE,TRUE
359,766,SUTTER ST,0282 007 01,6,0,6,0,0,0,6,1573.5,TRUE,TRUE
360,860,SUTTER ST,0281 006 01,50,39,50,39,0,0,89,1300,TRUE,FALSE
361,952,SUTTER ST,0280 011 01,10,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
362,972,SUTTER ST,0280 012 01,19,11,18,10,1,1,30,705,TRUE,TRUE
363,1e3,SUTTER ST,0279 005 01,232,0,191,0,41,0,232,1009.42,TRUE,FALSE
364,1114,SUTTER ST,0669 006 01,7,0,7,0,0,0,7,779.79,TRUE,FALSE
365,1499,SUTTER ST,0689 012 01,194,0,138,0,56,0,194,1277.59,TRUE,FALSE
366,1570,SUTTER ST,0673 007 01,75,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
367,30,SYCAMORE ST,3576 066 01,24,0,31,0,0,0,31,629,TRUE,TRUE
368,118,TAYLOR ST,0340 012 01,38,25,14,0,24,25,63,625,TRUE,FALSE
369,162,TAYLOR ST,0340 015 01,27,2,20,2,7,0,27,950,TRUE,TRUE
370,615,TAYLOR ST,0298 005,17,17,9,3,8,14,34,875,TRUE,TRUE
371,735,TAYLOR ST,0282 003 01,63,0,57,0,6,0,63,1525.61,TRUE,TRUE
372,749,TAYLOR ST,0282 002 01,14,22,10,12,4,10,36,715,TRUE,TRUE
373,50,TURK ST,0340 008,12,4,11,1,1,0,16,NA,TRUE,FALSE
374,74,TURK ST,0340 010 01,50,2,47,1,3,1,52,580.33,TRUE,TRUE
375,140,TURK ST,0339 007 01,25,7,22,0,3,7,32,600,TRUE,FALSE
376,166,TURK ST,0339 009 01,8,9,10,2,0,5,17,1e3,TRUE,TRUE
377,270,TURK ST,0338 010 01,16,0,16,0,0,0,16,964.22,TRUE,TRUE
378,275,TURK ST,0344 007 01,7,0,8,0,0,0,8,728.08,TRUE,FALSE
379,467,TURK ST,0346 013 01,93,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
380,835,TURK ST,0761 016A 01,114,0,114,0,0,0,114,1509.3,TRUE,TRUE
381,615,UNION ST,0117 001 01,66,0,43,0,3,0,46,1300,TRUE,FALSE
382,1510,UNION ST,0527 009 01,13,0,13,0,0,0,13,650,TRUE,FALSE
383,2186,UNION ST,0533 019 01,12,0,12,0,0,0,12,942.28,TRUE,TRUE
384,1312,UTAH ST,4264 001 01,16,0,16,0,1,0,17,794,TRUE,TRUE
385,447,VALENCIA ST,3554 057 01,42,30,42,23,0,7,72,900.8,TRUE,TRUE
386,528,VALENCIA ST,3568 003 01,49,0,16,0,35,0,51,600,TRUE,TRUE
387,559,VALENCIA ST,3569 041 01,63,0,56,0,7,0,63,500,TRUE,TRUE
388,663,VALENCIA ST,3576 113 01,40,0,18,0,22,0,40,1400,TRUE,TRUE
389,868,VALENCIA ST,3597 009 01,24,0,24,0,0,0,24,550,TRUE,TRUE
390,1041,VALENCIA ST,3616 022 01,12,0,11,0,1,0,12,591.31,TRUE,TRUE
391,702,VALLEJO ST,0130 010 01,38,0,39,0,0,0,39,536.1,TRUE,FALSE
392,705,VALLEJO ST,0147 001 01,40,3,40,2,0,1,43,498,TRUE,FALSE
393,790,VALLEJO ST,0130 022 01,27,0,18,0,9,0,27,550,TRUE,TRUE
394,1334,VAN NESS AV,0670 014 01,41,3,41,3,2,0,46,765,TRUE,TRUE
395,1405,VAN NESS AV,0666 005 01,41,0,41,0,0,0,41,1735,TRUE,TRUE
396,2420,VAN NESS AV,0547 009 01,18,0,17,0,1,0,18,700,TRUE,TRUE
397,16,VIRGINIA AV,5642 050 01,14,0,15,0,0,0,15,600,TRUE,FALSE
398,735,WASHINGTON ST,0209 011 01,20,0,0,0,0,0,20,386.13,TRUE,TRUE
399,858,WASHINGTON ST,0193 017 01,140,0,114,0,0,0,114,517.19,TRUE,FALSE
400,874,WASHINGTON ST,0193 018 01,115,0,115,0,0,0,115,493.28,TRUE,TRUE
401,29,WAVERLY PL,0225 025 01,13,0,12,0,1,0,13,450,TRUE,TRUE
402,41,WAVERLY PL,0225 023 01,20,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
403,124,WAVERLY PL,0210 038 01,26,0,25,0,1,0,26,526.46,TRUE,TRUE
404,24,WENTWORTH ST,0194 023 01,21,0,20,0,1,0,21,250,TRUE,TRUE
