for_profit_hotel_id,address_number_july,address_street_july,block_lot_july,cofu_residential,cofu_tourist,reported_occupied_residential_july,reported_occupied_tourist_july,vacant_residential_july,vacant_tourist_july,total_reported_hotel_units_july,aaur_filing_received_july,aaur_sufficient_july,address_number_august,address_street_august,block_lot_august,reported_occupied_residential_august,reported_occupied_tourist_august,vacant_residential_august,vacant_tourist_august,total_reported_hotel_units_august,average_rent_dollars,aaur_filing_received_august,aaur_sufficient_august,became_compliant
1,479,03RD ST,3763 022 00,19,0,16,1,1,1,19,TRUE,FALSE,479,03RD ST,3763 022 00,16,1,1,1,19,525,TRUE,FALSE,FALSE
2,2342,03RD ST,4108 003A 01,18,0,NA,NA,NA,NA,NA,FALSE,FALSE,2342,03RD ST,4108 003A 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
3,3900,03RD ST,5242 021 01,19,0,19,0,0,0,19,TRUE,TRUE,3900,03RD ST,5242 021 01,19,0,0,0,19,1067,TRUE,TRUE,FALSE
4,4544,03RD ST,5296 031,17,0,0,0,17,0,17,TRUE,TRUE,4544,03RD ST,5296 031,0,0,17,0,17,0,TRUE,TRUE,FALSE
5,54,04TH ST,3705 004 01,81,87,13,46,68,41,168,TRUE,FALSE,54,04TH ST,3705 004 01,13,46,68,41,168,875.98,TRUE,TRUE,TRUE
6,44,05TH ST,3704 003 01,70,0,52,0,18,0,70,TRUE,FALSE,44,05TH ST,3704 003 01,52,0,18,0,70,750,TRUE,TRUE,TRUE
7,20,06TH ST,3703 002 01,43,15,NA,NA,NA,NA,NA,TRUE,FALSE,20,06TH ST,3703 002 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
8,37,06TH ST,3704 053 01,10,6,5,4,5,2,16,TRUE,FALSE,37,06TH ST,3704 053 01,5,4,5,2,16,500,TRUE,FALSE,FALSE
9,41,06TH ST,3704 052 01,14,0,13,0,1,0,14,TRUE,FALSE,41,06TH ST,3704 052 01,13,0,1,0,14,NA,TRUE,FALSE,FALSE
10,42,06TH ST,3703 005 01,21,7,19,5,2,2,28,TRUE,TRUE,42,06TH ST,3703 005 01,19,5,2,2,28,950,TRUE,TRUE,FALSE
11,45,06TH ST,3704 051 01,15,0,9,0,6,0,15,TRUE,FALSE,45,06TH ST,3704 051 01,9,0,6,0,15,700,TRUE,TRUE,TRUE
12,48,06TH ST,3703 006 01,41,0,41,0,0,0,44,TRUE,FALSE,48,06TH ST,3703 006 01,41,0,0,0,44,675,TRUE,TRUE,TRUE
13,68,06TH ST,3703 027 01,29,0,29,0,10,0,29,TRUE,TRUE,68,06TH ST,3703 027 01,29,0,10,0,29,623.79,TRUE,TRUE,FALSE
14,93,06TH ST,3704 025 01,29,0,NA,NA,NA,NA,NA,FALSE,FALSE,93,06TH ST,3704 025 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
15,102,06TH ST,3726 001 01,14,0,13,0,1,0,14,TRUE,TRUE,102,06TH ST,3726 001 01,13,0,1,0,14,500,TRUE,TRUE,FALSE
16,106,06TH ST,3726 002 01,100,21,NA,NA,NA,NA,NA,FALSE,FALSE,106,06TH ST,3726 002 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
17,135,06TH ST,3725 064 01,21,30,NA,NA,NA,NA,NA,FALSE,FALSE,135,06TH ST,3725 064 01,22,6,0,23,51,900,TRUE,TRUE,TRUE
18,136,06TH ST,3726 005 01,12,0,NA,NA,NA,NA,NA,FALSE,FALSE,136,06TH ST,3726 005 01,1,0,9,0,10,983.33,TRUE,TRUE,TRUE
19,149,06TH ST,3725 063 01,51,0,0,0,0,0,0,TRUE,TRUE,149,06TH ST,3725 063 01,0,0,0,0,0,0,TRUE,TRUE,FALSE
20,152,06TH ST,3726 008 01,15,0,14,0,1,0,15,TRUE,TRUE,152,06TH ST,3726 008 01,14,0,1,0,15,500,TRUE,TRUE,FALSE
21,170,06TH ST,3726 009 01,25,0,23,0,2,0,25,TRUE,TRUE,170,06TH ST,3726 009 01,23,0,2,0,25,692,TRUE,TRUE,FALSE
22,219,06TH ST,3732 123 01,19,0,19,0,0,0,19,TRUE,FALSE,219,06TH ST,3732 123 01,19,0,0,0,19,1450,TRUE,FALSE,FALSE
23,226,06TH ST,3731 003 01,11,30,11,30,5,0,41,TRUE,TRUE,226,06TH ST,3731 003 01,11,30,5,0,41,20,TRUE,TRUE,FALSE
24,219,07TH ST,3731 041,22,0,NA,NA,NA,NA,NA,FALSE,FALSE,219,07TH ST,3731 041,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
25,80,09TH ST,3508 018 01,21,6,NA,NA,NA,NA,NA,TRUE,FALSE,80,09TH ST,3508 018 01,11,4,10,2,27,1100,TRUE,TRUE,TRUE
26,81,09TH ST,3701 023 01,20,0,20,0,NA,0,20,TRUE,TRUE,81,09TH ST,3701 023 01,20,0,NA,0,20,1441,TRUE,TRUE,FALSE
27,205,09TH ST,3729 082 01,32,0,9,0,23,0,32,TRUE,FALSE,205,09TH ST,3729 082 01,9,0,23,0,32,492.28,TRUE,TRUE,TRUE
28,251,09TH ST,3729 057 01,16,4,NA,NA,NA,NA,NA,TRUE,FALSE,251,09TH ST,3729 057 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
29,120,10TH ST,3510 059 01,8,0,NA,NA,NA,NA,NA,FALSE,FALSE,120,10TH ST,3510 059 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
30,311,11TH AV,1443 001 01,14,0,14,0,0,0,14,TRUE,TRUE,311,11TH AV,1443 001 01,14,0,0,0,14,511.47,TRUE,TRUE,FALSE
31,20,12TH ST,3505 001 01,71,85,NA,NA,NA,NA,NA,FALSE,FALSE,20,12TH ST,3505 001 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
32,215,14TH ST,3548 088 01,13,0,13,0,0,0,13,TRUE,TRUE,215,14TH ST,3548 088 01,13,0,0,0,13,800,TRUE,TRUE,FALSE
33,3032,16TH ST,3554 012 01,18,3,NA,NA,NA,NA,NA,FALSE,FALSE,3032,16TH ST,3554 012 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
34,3061,16TH ST,3569 078 01,20,5,0,0,20,5,25,TRUE,TRUE,3061,16TH ST,3569 078 01,0,0,20,5,25,0,TRUE,TRUE,FALSE
35,3143,16TH ST,3568 064 02,20,0,NA,NA,NA,NA,NA,FALSE,FALSE,3143,16TH ST,3568 064 02,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
36,3161,16TH ST,3568 061 01,54,0,54,0,0,0,54,TRUE,TRUE,3161,16TH ST,3568 061 01,54,0,0,0,54,760,TRUE,TRUE,FALSE
37,3444,18TH ST,3576 034 01,14,0,NA,NA,NA,NA,NA,FALSE,FALSE,3444,18TH ST,3576 034 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
38,3491,20TH ST,3610 029 01,41,0,0,0,1,0,41,TRUE,TRUE,3491,20TH ST,3610 029 01,0,0,1,0,41,1533.13,TRUE,TRUE,FALSE
39,3562,20TH ST,3596 054 01,22,0,18,0,4,0,22,TRUE,FALSE,3562,20TH ST,3596 054 01,18,0,4,0,22,409.09,TRUE,TRUE,TRUE
40,3270,21ST ST,3609 023 01,11,0,NA,NA,NA,NA,NA,FALSE,FALSE,3270,21ST ST,3609 023 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
41,732,22ND ST,4108 020 01,31,0,29,0,1,0,30,TRUE,FALSE,732,22ND ST,4108 020 01,29,0,1,0,30,1057,TRUE,TRUE,TRUE
42,3414,25TH ST,6516 009 01,20,0,20,0,0,0,20,TRUE,FALSE,3414,25TH ST,6516 009 01,20,0,0,0,20,484.25,TRUE,FALSE,FALSE
43,55,30TH ST,6660 044 01,26,0,24,0,2,0,26,TRUE,TRUE,55,30TH ST,6660 044 01,24,0,2,0,26,500,TRUE,TRUE,FALSE
44,3429,ANZA ST,1568 028 01,9,0,NA,NA,NA,NA,NA,TRUE,FALSE,3429,ANZA ST,1568 028 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
45,3433,ANZA ST,1568 027 01,9,0,9,0,0,0,9,TRUE,TRUE,3433,ANZA ST,1568 027 01,9,0,0,0,9,715.88,TRUE,TRUE,FALSE
46,949,ASHBURY ST,1269 030 1,9,0,7,0,2,0,9,TRUE,TRUE,949,ASHBURY ST,1269 030 1,7,0,2,0,9,1148,TRUE,TRUE,FALSE
47,4740,BALBOA ST,1591 005J 01,10,1,NA,NA,NA,NA,NA,FALSE,FALSE,4740,BALBOA ST,1591 005J 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
48,712,BATTERY ST,0166 005 01,11,9,2,0,9,9,11,TRUE,TRUE,712,BATTERY ST,0166 005 01,2,0,9,9,11,350,TRUE,TRUE,FALSE
49,11,BELDEN ST,0269 005 01,105,0,101,0,5,0,106,TRUE,FALSE,11,BELDEN ST,0269 005 01,101,0,5,0,106,605.61,TRUE,TRUE,TRUE
50,371,BROADWAY,0164 018 01,42,0,40,0,2,0,42,TRUE,TRUE,371,BROADWAY,0164 018 01,40,0,2,0,42,558.26,TRUE,TRUE,FALSE
51,381,BROADWAY,0164 014 01,43,0,39,0,3,0,42,TRUE,TRUE,381,BROADWAY,0164 014 01,39,0,3,0,42,458.77,TRUE,TRUE,FALSE
52,402,BROADWAY,0144 007 01,82,36,78,30,4,6,118,TRUE,TRUE,402,BROADWAY,0144 007 01,78,30,4,6,118,540,TRUE,TRUE,FALSE
53,407,BROADWAY,0163 001 01,36,0,35,0,0,0,36,TRUE,FALSE,407,BROADWAY,0163 001 01,35,0,0,0,36,360,TRUE,FALSE,FALSE
54,438,BROADWAY,0144 011 01,23,7,34,0,0,0,34,TRUE,TRUE,438,BROADWAY,0144 011 01,34,0,0,0,34,344.66,TRUE,TRUE,FALSE
55,461,BROADWAY,0163 026 01,30,0,30,0,0,0,30,TRUE,FALSE,461,BROADWAY,0163 026 01,30,0,0,0,30,390,TRUE,FALSE,FALSE
56,517,BROADWAY,0162 025 01,26,0,34,0,0,0,37,TRUE,FALSE,517,BROADWAY,0162 025 01,34,0,0,0,37,700,TRUE,FALSE,FALSE
57,527,BROADWAY,0162 024 01,17,0,15,0,1,0,16,TRUE,FALSE,527,BROADWAY,0162 024 01,15,0,1,0,16,441.35,TRUE,FALSE,FALSE
58,554,BROADWAY,0145 011 01,32,0,28,0,4,0,32,TRUE,FALSE,554,BROADWAY,0145 011 01,28,0,4,0,32,630,TRUE,TRUE,TRUE
59,615,BROADWAY,0161 001 01,52,81,15,25,37,56,133,TRUE,FALSE,615,BROADWAY,0161 001 01,15,25,37,56,133,763.84,TRUE,TRUE,TRUE
60,636,BROADWAY,0146 005 01,10,0,8,0,2,0,10,TRUE,TRUE,636,BROADWAY,0146 005 01,8,0,2,0,10,650,TRUE,TRUE,FALSE
61,637,BROADWAY,0161 035 01,42,0,42,0,0,0,42,TRUE,TRUE,637,BROADWAY,0161 035 01,42,0,0,0,42,498.92,TRUE,TRUE,FALSE
62,660,BROADWAY,0146 007 01,9,0,NA,NA,NA,NA,NA,TRUE,FALSE,660,BROADWAY,0146 007 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
63,672,BROADWAY,0146 008 01,14,0,14,0,0,0,14,TRUE,TRUE,672,BROADWAY,0146 008 01,14,0,0,0,14,815,TRUE,TRUE,FALSE
64,673,BROADWAY,0161 031 01,14,0,NA,NA,NA,NA,NA,TRUE,FALSE,673,BROADWAY,0161 031 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
65,686,BROADWAY,0146 011 01,43,0,47,0,0,0,47,TRUE,TRUE,686,BROADWAY,0146 011 01,47,0,0,0,47,459.21,TRUE,TRUE,FALSE
66,691,BROADWAY,0161 029 01,30,0,35,0,0,0,35,TRUE,TRUE,691,BROADWAY,0161 029 01,35,0,0,0,35,442.45,TRUE,TRUE,FALSE
67,700,BROADWAY,0147 005 01,6,0,6,0,0,0,6,TRUE,TRUE,700,BROADWAY,0147 005 01,6,0,0,0,6,742.42,TRUE,TRUE,FALSE
68,705,BROADWAY,0160 001 01,34,0,32,0,1,0,33,TRUE,FALSE,705,BROADWAY,0160 001 01,32,0,1,0,33,429.35,TRUE,FALSE,FALSE
69,730,BROADWAY,0147 008A 01,16,0,NA,NA,NA,NA,NA,FALSE,FALSE,730,BROADWAY,0147 008A 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
70,740,BROADWAY,0147 008B 01,57,0,57,0,0,0,57,TRUE,TRUE,740,BROADWAY,0147 008B 01,57,0,0,0,57,599.92,TRUE,TRUE,FALSE
71,754,BROADWAY,0147 011 01,51,0,NA,NA,NA,NA,NA,TRUE,FALSE,754,BROADWAY,0147 011 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
72,785,BROADWAY,0160 018 01,3,18,21,0,0,0,21,TRUE,TRUE,785,BROADWAY,0160 018 01,21,0,0,0,21,464.36,TRUE,TRUE,FALSE
73,2136,BRODERICK ST,1001 021 01,20,0,19,0,1,0,20,TRUE,TRUE,2136,BRODERICK ST,1001 021 01,19,0,1,0,20,1655,TRUE,TRUE,FALSE
74,2148,BRODERICK ST,1001 023 01,17,0,15,0,2,0,17,TRUE,TRUE,2148,BRODERICK ST,1001 023 01,15,0,2,0,17,1494,TRUE,TRUE,FALSE
75,527,BRYANT ST,3776 098 01,8,0,0,0,8,0,0,TRUE,TRUE,527,BRYANT ST,3776 098 01,0,0,8,0,0,0,TRUE,TRUE,FALSE
76,975,BUSH,0282 012 01,12,82,10,28,2,54,94,TRUE,TRUE,975,BUSH,0282 012 01,10,28,2,54,94,1028,TRUE,TRUE,FALSE
77,447,BUSH ST,0287 020 01,38,13,24,4,14,9,51,TRUE,TRUE,447,BUSH ST,0287 020 01,24,4,14,9,51,1872.66,TRUE,TRUE,FALSE
78,507,BUSH ST,0286 001 01,40,18,17,7,21,11,56,TRUE,TRUE,507,BUSH ST,0286 001 01,17,7,21,11,56,2449,TRUE,TRUE,FALSE
79,510,BUSH ST,0271 005 01,79,13,20,7,50,6,83,TRUE,FALSE,510,BUSH ST,0271 005 01,20,7,50,6,83,1315.6,TRUE,FALSE,FALSE
80,625,BUSH ST,0285 018 01,13,0,13,0,0,0,13,TRUE,TRUE,625,BUSH ST,0285 018 01,13,0,0,0,13,991.43,TRUE,TRUE,FALSE
81,698,BUSH ST,0272 008 01,17,0,16,0,1,0,17,TRUE,TRUE,698,BUSH ST,0272 008 01,16,0,1,0,17,533.87,TRUE,TRUE,FALSE
82,753,BUSH ST,0284 020 01,14,62,12,47,2,15,76,TRUE,TRUE,753,BUSH ST,0284 020 01,12,47,2,15,76,770.7,TRUE,TRUE,FALSE
83,825,BUSH ST,0283 020 01,11,0,11,0,2,0,11,TRUE,FALSE,825,BUSH ST,0283 020 01,11,0,2,0,11,NA,TRUE,FALSE,FALSE
84,980,BUSH ST,0275 006 01,10,0,10,0,0,0,10,TRUE,TRUE,980,BUSH ST,0275 006 01,10,0,0,0,10,1394.22,TRUE,TRUE,FALSE
85,999,BUSH ST,0282 011 01,6,0,6,0,0,0,6,TRUE,TRUE,999,BUSH ST,0282 011 01,6,0,0,0,6,1014.33,TRUE,TRUE,FALSE
86,1010,BUSH ST,0276 007 01,66,0,59,1,5,0,65,TRUE,FALSE,1010,BUSH ST,0276 007 01,59,1,5,0,65,1156.95,TRUE,TRUE,TRUE
87,1080,BUSH ST,0276 015 01,15,0,15,0,0,0,15,TRUE,FALSE,1080,BUSH ST,0276 015 01,15,0,0,0,15,1187,TRUE,TRUE,TRUE
88,1105,BUSH ST,0280 001 01,16,0,14,0,2,0,16,TRUE,TRUE,1105,BUSH ST,0280 001 01,14,0,2,0,16,783.59,TRUE,TRUE,FALSE
89,1153,BUSH ST,0280 026 01,14,0,15,0,0,0,15,TRUE,FALSE,1153,BUSH ST,0280 026 01,15,0,0,0,15,1154,TRUE,TRUE,TRUE
90,1353,BUSH ST,0669 013 01,18,18,18,17,NA,1,36,TRUE,FALSE,1353,BUSH ST,0669 013 01,18,17,NA,1,36,917.65,TRUE,TRUE,TRUE
91,1485,BUSH ST,0670 017 01,13,13,13,13,13,0,26,TRUE,TRUE,1485,BUSH ST,0670 017 01,13,13,13,0,26,0,TRUE,TRUE,FALSE
92,1388,CALIFORNIA ST,0248 014 01,50,19,50,19,0,0,69,TRUE,FALSE,1388,CALIFORNIA ST,0248 014 01,50,19,0,0,69,32,TRUE,FALSE,FALSE
93,1499,CALIFORNIA ST,0250 016 01,84,0,59,0,25,0,84,TRUE,TRUE,1499,CALIFORNIA ST,0250 016 01,59,0,25,0,84,762.1,TRUE,TRUE,FALSE
94,1507,CALIFORNIA ST,0645 001 01,36,0,NA,NA,NA,NA,NA,FALSE,FALSE,1507,CALIFORNIA ST,0645 001 01,NA,NA,39,NA,NA,NA,TRUE,TRUE,TRUE
95,1544,CALIFORNIA ST,0644 012 01,52,0,46,0,6,0,52,TRUE,TRUE,1544,CALIFORNIA ST,0644 012 01,46,0,6,0,52,650,TRUE,TRUE,FALSE
96,3398,CALIFORNIA ST,1020 012 01,20,0,NA,NA,NA,NA,NA,FALSE,FALSE,3398,CALIFORNIA ST,1020 012 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
97,182,CARL ST,1267 029 01,11,0,7,0,4,0,11,TRUE,TRUE,182,CARL ST,1267 029 01,7,0,4,0,11,994,TRUE,TRUE,FALSE
98,198,CARL ST,1267 030 01,28,0,22,0,6,0,28,TRUE,TRUE,198,CARL ST,1267 030 01,22,0,6,0,28,1500,TRUE,TRUE,FALSE
99,640,CLAY ST,0208 008 01,119,3,NA,NA,NA,NA,NA,FALSE,FALSE,640,CLAY ST,0208 008 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
100,647,CLAY ST,0227 044 01,22,0,NA,NA,NA,NA,NA,TRUE,FALSE,647,CLAY ST,0227 044 01,19,0,3,0,22,342.69,TRUE,TRUE,TRUE
101,668,CLAY ST,0208 010 01,107,0,107,0,28,0,108,TRUE,FALSE,668,CLAY ST,0208 010 01,107,0,28,0,108,563.45,TRUE,FALSE,FALSE
102,721,CLAY ST,0226 047 01,10,0,6,0,4,0,10,TRUE,FALSE,721,CLAY ST,0226 047 01,6,0,4,0,10,610,TRUE,FALSE,FALSE
103,731,CLAY ST,0226 046 01,12,0,12,0,0,0,12,TRUE,TRUE,731,CLAY ST,0226 046 01,12,0,0,0,12,578.75,TRUE,TRUE,FALSE
104,755,CLAY ST,0226 043 01,10,0,10,0,0,0,10,TRUE,TRUE,755,CLAY ST,0226 043 01,10,0,0,0,10,672.5,TRUE,TRUE,FALSE
105,761,CLAY ST,0226 042 01,12,0,12,0,0,0,12,TRUE,TRUE,761,CLAY ST,0226 042 01,12,0,0,0,12,513.76,TRUE,TRUE,FALSE
106,777,CLAY ST,0226 041 01,30,0,30,0,0,0,30,TRUE,TRUE,777,CLAY ST,0226 041 01,30,0,0,0,30,379.31,TRUE,TRUE,FALSE
107,808,CLAY ST,0210 006 01,7,0,7,0,0,0,7,TRUE,FALSE,808,CLAY ST,0210 006 01,7,0,0,0,7,300.43,TRUE,FALSE,FALSE
108,815,CLAY ST,0225 031 01,14,0,14,0,0,0,14,TRUE,TRUE,815,CLAY ST,0225 031 01,14,0,0,0,14,287.68,TRUE,TRUE,FALSE
109,817,CLAY ST,0225 030 01,8,0,7,0,0,0,7,TRUE,FALSE,817,CLAY ST,0225 030 01,7,0,0,0,7,566.23,TRUE,FALSE,FALSE
110,857,CLAY ST,0225 019 01,51,0,49,0,2,0,51,TRUE,TRUE,857,CLAY ST,0225 019 01,49,0,2,0,51,400,TRUE,TRUE,FALSE
111,870,CLAY ST,0210 012 01,36,0,36,0,0,0,36,TRUE,FALSE,870,CLAY ST,0210 012 01,36,0,0,0,36,543.03,TRUE,FALSE,FALSE
112,920,CLAY ST,0211 006 01,12,0,12,0,0,0,12,TRUE,TRUE,920,CLAY ST,0211 006 01,12,0,0,0,12,123.33,TRUE,TRUE,FALSE
113,937,CLAY ST,0224 032 01,68,0,NA,NA,NA,NA,NA,FALSE,FALSE,937,CLAY ST,0224 032 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
114,1627,CLAY ST,0621 021 01,15,0,0,0,0,0,15,TRUE,FALSE,1627,CLAY ST,0621 021 01,0,0,0,0,15,1400,TRUE,FALSE,FALSE
115,67,COLUMBUS AV,0195 016 01,11,0,NA,NA,NA,NA,NA,TRUE,FALSE,67,COLUMBUS AV,0195 016 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
116,112,COLUMBUS AV,0176 010 01,99,0,90,0,9,0,99,TRUE,TRUE,112,COLUMBUS AV,0176 010 01,90,0,9,0,99,1217,TRUE,TRUE,FALSE
117,237,COLUMBUS AV,0162 005 01,34,0,34,0,0,0,34,TRUE,TRUE,237,COLUMBUS AV,0162 005 01,34,0,0,0,34,453.58,TRUE,TRUE,FALSE
118,301,COLUMBUS AV,0146 002 01,46,0,39,0,7,0,46,TRUE,TRUE,301,COLUMBUS AV,0146 002 01,39,0,7,0,46,505,TRUE,TRUE,FALSE
119,331,COLUMBUS AV,0146 027 01,12,0,12,0,0,0,12,TRUE,TRUE,331,COLUMBUS AV,0146 027 01,12,0,0,0,12,531.78,TRUE,TRUE,FALSE
120,354,COLUMBUS AV,0146 001 01,61,0,61,0,0,0,61,TRUE,TRUE,354,COLUMBUS AV,0146 001 01,61,0,0,0,61,475.4,TRUE,TRUE,FALSE
121,371,COLUMBUS AV,0146 025 01,27,0,NA,NA,NA,NA,NA,FALSE,FALSE,371,COLUMBUS AV,0146 025 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
122,524,COLUMBUS AV,0117 004 01,44,0,40,0,1,0,44,TRUE,TRUE,524,COLUMBUS AV,0117 004 01,40,0,1,0,44,685,TRUE,TRUE,FALSE
123,575,COLUMBUS AV,0117 017 01,24,0,NA,NA,NA,NA,NA,TRUE,FALSE,575,COLUMBUS AV,0117 017 01,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE
124,905,COLUMBUS AV,0065 015 01,74,0,61,0,13,0,74,TRUE,TRUE,905,COLUMBUS AV,0065 015 01,61,0,13,0,74,445.4,TRUE,TRUE,FALSE
125,688,COMMERCIAL ST,0227 033 01,85,0,85,0,0,0,85,TRUE,FALSE,688,COMMERCIAL ST,0227 033 01,85,0,0,0,85,380,TRUE,FALSE,FALSE
126,21,COOPER AL,0194 029 01,15,0,15,0,0,0,15,TRUE,FALSE,21,COOPER AL,0194 029 01,15,0,0,0,15,125,TRUE,FALSE,FALSE
127,27,DASHIELL HAMMETT,0272 023 01,34,1,19,0,15,1,35,TRUE,TRUE,27,DASHIELL HAMMETT,0272 023 01,19,0,15,1,35,720,TRUE,TRUE,FALSE
128,94,DUBOCE AV,3513 022 01,20,0,18,0,0,0,20,TRUE,TRUE,94,DUBOCE AV,3513 022 01,18,0,0,0,20,698,TRUE,TRUE,FALSE
129,128,EDDY ST,0331 007 01,35,3,18,3,17,0,38,TRUE,FALSE,128,EDDY ST,0331 007 01,18,3,17,0,38,840.33,TRUE,TRUE,TRUE
130,395,EDDY ST,0338 017 01,30,6,30,6,0,0,36,TRUE,TRUE,395,EDDY ST,0338 017 01,30,6,0,0,36,325,TRUE,TRUE,FALSE
131,411,EDDY ST,0337 001 01,22,0,21,0,1,0,22,TRUE,TRUE,411,EDDY ST,0337 001 01,21,0,1,0,22,600,TRUE,TRUE,FALSE
132,493,EDDY ST,0337 015 01,24,28,NA,NA,NA,NA,NA,FALSE,FALSE,493,EDDY ST,0337 015 01,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
133,587,EDDY ST,0336 014A 01,20,48,0,52,16,0,68,TRUE,TRUE,587,EDDY ST,0336 014A 01,0,52,16,0,68,0,TRUE,TRUE,FALSE
